url,Headline,Organization,Location,Assignment type,Subject,Publish date,Deadline for application,Description,machine learning,deep learning
https://kth.powerappsportals.com/en-US/student/view-job/?id=fbbce158-f779-ec11-b820-0003ff1c32d6,Älskar du Linux? Slipp CSN genom att sköta servermiljöer under kvällstid/helger!,MrFriday AB,På distans och på vårt kontor vid Slussen,Seasonal and part time jobs,Computer Science and Engineering,11/1/2022,11/30/2022,"Älskar du Linux? Slipp CSN genom att sköta servermiljöer under kvällstid/helger!

MrFriday AB (www.mrfriday.com) söker flera Linux-kunniga systemadministratörer till vårt devops/sysadm-team.

Vi kommer att tillsätta dels roller som går att kombinera med studier (såsom jourroller
utanför ordinarie arbetstid) och dels roller på heltid.

Du kommer att jobba med drift av storskaliga Linux-servermiljöer.

Vi tror att du älskar Linux och gillar open source i allmänhet. Det gör nämligen vi!

Andra bra saker vi gillar och som du kommer få lära dig att arbeta med:

* Ansible
* argo
* bash
* Celery
* Docker
* Elasticsearch
* git
* Grafana
* Kibana
* Kubernetes
* Logstash
* memcached
* MinIO
* MongoDB
* MySQL
* nginx
* Node.js
* OpenShift
* RabbitMQ
* Postfix
* PostgreSQL
* Python
* Redis
* Tomcat
* uWSGI
* Varnish
* Vault

Delar du några av våra intressen? Skicka några rader om dig och din Linux-erfarenhet till jobb@mrfriday.com så tar vi det därifrån!

Vi sitter i stora lokaler på Götgatan 36 vid Slussen i Stockholm.

Om MrFriday AB: ""MrFriday AB är ett driftbolag som driftar Linuxbaserade serverlösningar för affärskritiska webbtjänster med behov av dygnet-runt-jour. Eller enklare uttryckt — vi tillhandahåller serverlösningar för sajter och system som alltid måste vara tillgängliga. Dygnet runt, året runt och utan undantag. Med hjälp av uteslutande öppen mjukvara — såsom Linux, XCP-ng, MySQL och PostgreSQL — ser vi till att våra kunder har högsta möjliga driftsäkerhet. Verksamheten grundades kring millenieskiftet och bland våra kunder finns idag några av Sveriges största e-handlare, fysiska butikskedjor, mediehus, reklambyråer och några av landets mest snabbväxande startups.""",False,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=b66f86a7-fa79-ec11-b820-0003ff1c32d6,Vill du jobba med Python och Django? Älskar du open source?,5 Monkeys Agency AB,"Slussen, Stockholm",Seasonal and part time jobs,Computer Science and Engineering,11/1/2022,11/30/2022,"Vill du jobba med Python och Django? Älskar du open source?

Då vill vi gärna jobba med dig. Kontakta oss på jobb@5monkeys.se eller ännu hellre: SSH:a till join.5monkeys.se!

Vi gillar modern testdriven utveckling med byggstenar såsom Docker, CI-verktyg (Travis CI, m.fl.) och hög coverage.

Från vårt kontor vid Slussen i Stockholm tar vi fram storskaliga digitala tjänster åt våra kunder.

Vi erbjuder sommarjobb, deltidsjobb parallellt med studierna samt heltidsjobb.

Vi har utvecklat några av Sveriges allra största Python/Django-baserade digitala tjänster. Genom att all utveckling sker från vårt kontor kan vi upprätthålla en mycket hög gemensam kunskaps- och kvalitetsnivå där vi lär oss av varandra.

Vi bidrar aktiv till flera open source-projekt. Du hittar några av våra projekt på GitHub: https://github.com/5monkeys

I över ett decennium har vi hjälpt såväl startups som storföretag att ta deras idéer till verklighet med hjälp av en mix av digital strategi, mjukvaruutveckling och öppen mjukvara.

Vi är idag kring 20 anställda. Vi älskar öppen mjukvara och vi är särskilt förtjusta i Python, Django, Linux och Docker.

Några av våra favoritmoduler från PyPI:
* attrs
* black
* celery
* coverage
* django
* djangorestframework
* funcy
* isort
* numpy
* pandas
* requests

Vilka är dina favoritmoduler? Maila oss på jobb@5monkeys.se eller ännu hellre: SSH:a till join.5monkeys.se! :)

Vi gillar även:
* Ansible
* Docker
* Elasticsearch
* git
* JavaScript (ECMAScript 6+)
* Linux
* memcached
* MySQL
* Neo4j
* nginx
* PostgreSQL
* RabbitMQ
* React
* Redis
* Travis CI
* uWSGI
* Varnish
* Webpack

Delar du några av våra intressen? Skicka en rad till jobb@5monkeys.se eller ännu hellre: SSH:a till join.5monkeys.se så tar vi det därifrån!

Vi sitter på Götgatan 36 (ovanför Bruno-gallerian). Välkommen!",False,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=85793a76-d9e0-ec11-b5cf-0003ff307f22,"X Jobb. Ta fram specifika uppgifter i ""rådata"". Fraktioner inom bygg mm.",Destroy RC AB,Skogås Stockholm,Seasonal and part time jobs,Sustainability,11/1/2022,3/3/2023,"Har utarbetat ett dataprogram sedan ett flertal år.
Har ca 9 000 projekt i data banken.
Vill mejsla fram fraktioner från ""rådatan"".
Hitta variabler.
Bygga statistik.
Kunna hitta separata fraktioner och annat som vägleder priset för entreprenader.

I nuläget arbetar vi i tre olika dataprogram som vi skapat själva.
Ett program för Projekt,fakturering samt manskap.
Ett program som hanterar alla de maskiner vi använder,
har i nuläget ca 3 000 artiklar i programmet.
Ett program för fraktioner och containers.

Vi sitter med i ett flertal grupper nationellt som arbetar med moderna lösningar på återanvändning och andra miljövänliga framtida byggkoncept.

Vi är ett rivningsföretag som under flera år ligger i framkant gällande innovationer inom vår branch.
Har ofta relativt svåra rivningsuppdrag.
Omsätter ca 100 miljoner.

Ägarna startade sin karriär inom rivningsbranschen redan 1992.
Destroy Rebuilding Company bildades 1995.
Idag har vi en personalstyrka på 88 personer.
Destroy är ett företag med stora resurser och som strävar efter att ha alla verktyg i verktygslådan samt en personlig kontakt med både stora som små beställare.

Vi sitter i moderna lokaler i Länna Industriområde Skogås.
Vi har funnits många år i länet och har ett stort nätverk, vilket kan vara positivt för ditt framtida val gällande arbete.

Du lägger upp omfattning av ditt arbete tillsammans med ansvarig.",False,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=98393cb7-bc56-ed11-97b2-0003ff3086e1,Examensarbete - Programvaruutveckling fokus säkerhet 30 hp,ACNR Cyber Technology AB,Stockholm,Degree project,Computer Science and Engineering,10/29/2022,12/31/2022,"Vi på ACNR Cyber Technology söker exjobbare för att undersöka och utveckla inom nedan föreslagna ämnen. Vi har gärna dialog kring utformning och innehåll av frågeställning.


• Detecting obfuscated code
Undersök, kartlägg och jämför olika typer av obfuskering av kod. Vilka metoder finns och hur kan man detektera och eventuellt gruppera dem?

• Virtualization using LLVM
Skapa en egen arkitektur och bygg en virtuell maskin ovanpå den arkitekturen. Att analysera och testa olika typer av lösningar kan utgöra den största delen av jobbet.

• Exploiting modern platforms
Undersök, kartlägg och jämför hur nya typer av mitigations/säkerhetsfunktioner skyddar och inte skyddar system.

• Static code analysis of compiled code
Hur kan man genomföra och hur genomförs statisk kodanalys av kompilerad kod.

• Persistance in modern malware
Kartlägg, undersök och jämför hur moderna malwares beter sig för att säkerställa persistens i infekterade system. Finns det några trender?

• Antivirus vs. Malware - History and future
Hur har kapplöpningen mellan antivirusföretagen och malwaretillverkarna sett ut sedan början av 2000-talet? Hur ser den ut just nu? Är det någon som tydligt leder? Och vart är den på väg. Vilka är trenderna hos båda?

• Use and misuse of UWB
Hur använder sig olika tillverkare av UWB i dagsläget och finns det några indikationer på att det används för att läcka information utan användarnas godkännande, både vad gäller positionering och/eller användardata.

 Kvalifikationer

- Stort intresse och bred kunskap av programmering
- Svensk medborgare

Omfattning: 30p för med start VT 2023.

Plats: Vårt kontor i centrala Stockholm samt delvis distans.

Vi erbjuder ersättning vid avslutat projekt.

Om bolaget

ACNR Cyber Technology är ett techbolag som arbetar med säkerhetslösningar och tekniska utmaningar åt framförallt svenska företag och organisationer. Vårt huvudkontor ligger i centrala Stockholm. Idag består vi av ett gäng techintresserade personer som gillar problemlösning och som hjälper varandra att lösa tekniska utmaningar. Vid frågor är du välkommen att höra av dig till Henrik (Henrik@acnr.se) eller läsa mer om oss på www.acnr.se.",False,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=bcff505c-9156-ed11-97b2-0003ff3086e1,Thesis Project 30 credits – Predictive control of engine exhaust aftertreatment system,Scania CV AB,Södertälje,Degree project,Mechanical engineering,10/28/2022,11/30/2022,"Background
Efficiency, emissions, safety and uptime are the crucial factors that engineers in the automotive industry strive to improve. The proposed study is a part of this continuous improvement towards perfection of Scania products. Modern Scania vehicles are equipped with advanced exhaust aftertreatment system to fulfil the stringent tailpipe emission requirements. A typical aftertreatment system utilizes information from various on-board sensors like temperature, NOx, etc. to monitor and control the system performance. With the advancement of technology and connectivity, it is possible to predict the vehicle operating conditions over a future horizon and
leverage that information to optimize the system performance. A control methodology that utilizes this predicted information could help enhance aftertreatment system performance and lead to potential cost savings for the customer.

Target
As the leading heavy duty vehicle manufacturer, Scania strives to continuously improve the value for its customers. Major value adders are state of the art emission reduction technology and among the lowest green-house gases footprint among conventional drivetrains. To improve these value adders even further, Scania intends to develop a new concept of predictive control of the aftertreatment system by utilizing the available vehicle operation information over a future horizon.

Assignment
The assignment involves tasks such as:
1. Reviewing and understanding the current state of the SCR control system at Scania
2. Performing literature review to understand the state of the art of SCR controls and
modern predictive controls
3. Building the predictive control model and evaluating the model performance in a virtual
simulation environment as well as in an engine test cell
4. Quantifying the advantages of predictive model over the existing control model

Education
The ideal thesis student has a high degree of logical thinking, absorbs new knowledge, shows initiative, works in a systematic way and makes new social contacts with ease. We believe the student has grades (with honors) in one or more of mechanical engineering, combustion engine technology, energy technology and/or mechatronics. Previous experience with aftertreatment thermal modelling, programming (Matlab/Simulink, C) and software design is advantageous.
Educational background as 2nd cycle student aiming at a major in Mechanical- or Vehicularengineering alternatively engineering physics.

Start date: January 2023, estimated time needed: 20 weeks

Contact persons and supervisors

Nishant Thakral, Development Engineer, nishant.thakral@scania.com, 08-55371452

Klara Lizarraga, Manager, klara.lizarraga@scania.com, 08-55353735

Application: Enclose CV, personal letter and school-leaving certificate.",False,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=8359b5a3-9e56-ed11-97b2-0003ff3086e1,30 credits – Predicting movement of surrounding vehicles with V2V for autonomous solutions,Scania CV AB,Södertälje,Degree project,Electrical Engineering,10/28/2022,11/30/2022,"Background:
Autonomous vehicle development is advancing at a very high pace and self-driving trucks will soon be a part of the existing transportation solution. For safe and reliable driving, it is essential that an autonomous vehicle can anticipate the actions of the other vehicles in its surroundings, not only on roads with well-defined lanes but also on open areas such as a parking lots, industrial areas or mines. Today many different sensors, such as for example lidars and radars, on the autonomous vehicle are used to detect other vehicles in its surrounding. This thesis would investigate how and if the Vehicle to Vehicle (V2V) perception/communication data could be fused with preprocessed/fused perception data from the sensors to then be used to reliably and safely predict the future movement of the surrounding vehicles for use in an autonomous vehicle.

Target:
To research, propose, implement and evaluate one or several algorithms for predicting the future movement of the surrounding vehicles for use in an autonomous vehicle. The algorithm/s should consider how to use the V2V data in the prediction of the surrounding vehicles and could explore both the use case for predicting on roads as well as in less structured environments such as open areas in mines.

Assignment:
The assignment could be divided into several steps:

Investigate which kind of methods and algorithms that could be used to predict the future movement of the surrounding vehicles, including investigations on how the V2V data could be used as well as how to perform the predictions in less structured environments. Thesis can also include investigations of which metrics that could be used to best evaluate for example the accuracy of the predictions as well as implications on safety for the autonomous vehicle.
Design and implement suitable algorithms for use in autonomous vehicles.
Test the implemented algorithms in simulation or in our autonomous vehicles used for development.
Evaluate the performance of the implemented algorithms with suitable metrics in regards to for example reliability, safety and accuracy.

Education:
Master of Science (civilingenjör) in Engineering Physics, Computer Science, Mechatronics, Mathematics or similar, preferably with specialization in control systems, robotics or artificial intelligence. Prior knowledge of predictive algorithms is an extra merit.

Number of students: 1-2 students
Start date: January/February 2023
Estimated time needed: 20 weeks

Contact persons and supervisors:
Annika Pysing, Manager, EADD Vehicle Behaviour, annika.pysing@scania.com
Jakob Arnoldsson, Development engineer (intended supervisor at Scania), EADD Vehicle Behaviour, jakob.arnoldsson@scania.com",True,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=c37548a2-a056-ed11-97b2-0003ff3086e1,Thesis Project 30 hp – Deep neural network sound recognition of internal combustion engines,Scania CV AB,Södertälje,Degree project,Electrical Engineering,10/28/2022,11/30/2022,"We are looking for people who want to work with the latest technical innovations and, at the same time, help to create a more sustainable world. At Scania we call this Driving the Shift. This means that we take a leading role in developing climate-smart solutions by creating sustainable, environmentally friendly products, for example, our development of existing technologies to set new standards for emissions and efficiency that will help us to fulfil our commitments under the Paris agreement.

Thesis project at Scania is an excellent way of making contacts for your future working life. Many of our current employees started their career with a thesis project.

Background
Scania engine assembly in Södertälje is continuously trying to improve its processes to maintain its status as the world leading manufacturer of internal combustion engines. One very important aspect of this mission is to provide our costumers with the best quality engines. To achieve this quality assurance for our customers Scania tests every single engine before it leaves the factory. During this testing, our operators listens to the engine to detect any noises related to an issue with the engine.

Target
Engine Assembly want to implement a solution to detect any noises relating to engine malfunction without human intervention. This will hopefully lead to a better quality control of the manufactured engines and reduced workload for the operators.

Assignment
Development of a classification interface where a skilled worker can classify sounds to engine issues, both on previous collected sound data and real time if the NN-model shows classification probabilities under a certain threshold.
Development of a deep neural network model that detects anomalies in real time.
Identify the needed hardware for the model execution and integration to the engine testing’s.
Development of an update and verification protocol so the NN-model can be retrained with new data at regular time intervals.

Education
Education: Master of Science in Engineering
Specialisation: Computer sciences, AI, engineering mathematics or equivalent
Good knowledge of: Machine learning, statistics and signal processing
Number of students: 1-2
Start date: January 2023
Estimated time needed: 20 weeks (30 hp)

Contact persons and supervisors
Anna Granqvist
Head of Process Engineering Engine Test and Paint
E-mail: anna.granqvist@scania.com
Telephone: 070 081 34 04

Application
Your application should contain a covering letter, CV and transcripts.
Selections will be made throughout the application period.",True,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=f34e466a-af56-ed11-97b2-0003ff3086e1,Partial Discharge monitoring on cables: Physical Testing of Detection methods,Vattenfall,Vattenfall office Solna (Stockholm) - KTH HV Lab,Degree project,Electrical Engineering,10/28/2022,12/1/2022,"Introduction
Partial discharge (PD) is one of the main issues when it comes to maintenance of cables in wind farms. For this reason, gaining understanding on the phenomenon and its detection is of high relevance.

Assignment
The thesis consists of conducting literature review of existing PD detection and monitoring techniques as well as testing PD detection equipment at the High Voltage laboratory at KTH. The aims are to understand the behavior of the equipment under different PD sources, to learn how to interpret the collected data and to compare different techniques in terms of performance with more conventional detection systems. The physical testing should be implemented in relation to the conducted literature review on existing PD detection methods and a summary of the available sensors in the market.

Your Profile
•Only KTH students can apply to this Thesis
•Education – Any of the following master programs or similar: MSc Electric Power Engineering or MSc Energy Physics.
•Good communication skills in English.

More Information
•The assignment starts: 2022-01-16 or by agreement
•Application – a combined file with your CV and cover letter, as well as a copy of your grades.
•Compensation: from 30.000 to 50.000 SEK depending on the results of the project and the evaluation of business potential.
•Contact person and supervisor at Vattenfall: Alexandra Gardarsdottir and Irene Manzanares, alexandra.diljagardarsdottir@vattenfall.com and irene.manzanarescasla@vattenfall.com]
•Contact person and supervisor at KTH: Hans Edin, Edin@kth.se

Diversity and inclusion – in everything we do
We are convinced that heterogeneous teams can outperform homogeneous teams. But we can only unleash and use the power of diversity when everyone feels included. Learn more about our important diversity and inclusion work https://careers.vattenfall.com/se/jobba-med-oss/mangfald-inkludering/",False,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=df4e0fb1-ce56-ed11-97b2-0003ff3086e1,Development of patient-specific cell models to explore genotype-phenotype correlation in rare neuromuscular diseases,KTH,AlbaNova,Degree project,Biotechnology,10/28/2022,12/1/2022,"Muscular dystrophies are rare genetic disorders that are incurable life threatening disorders. Current efforts in developing and providing therapies are hindered by challenges regarding the disease heterogeneity and the lack of tools for developing and testing novel therapies. These disorders are characterised by increasing muscle deterioration, with loss of walking ability, difficulty to breath  and ultimately heart failure. While cell models are readily available to study the most common disorders such as cancer, the availability is scarce for rare disorders. This low availability is further complicated by the fact that several different genetic mutations can lead to the same diagnosis – in other words, one disorder may require a multitude of cell models to cover the mutational landscape of a patient group.

The main objective of the project is to develop in vitro biological systems and create patient representative cell models. Cell models from eg. embryonic stem cells (SC), MSC and/or  induced pluripotent stem cells (iPSC) have during the past years held promise to elicit ground-breaking technologies to promote personalized medicine by better mimicking the patients true phenotype. The project will use novel methods to propagate induced pluripotent stem cells, promote differentiation and create skeletal muscle models. High-throughput technology will be used to analyse in detail their molecular features and reveal how the disease varies between patients. These strategy will allow characterization of disease phenotype on molecular level that if further developed could assist test of emerging drugs as well as development of cell replacement therapies and regenerative medicine.

The master thesis will consist of the following parts:
1. Literature study focusing on cultivation of induced pluripotent cells and differentiation into cardiomyocytes.
2. Proteomic/transcriptomic profiling  using high-throughput methods.
3. Report writing and final presentation.

The project is done in collaboration with researchers from University of Ferrara, Leiden University Medical Center and Newcastle University and University College of London. Ideal applicants are highly motivated MSc level students in the field of biotechnology, bioengineering or similar. Experience and/or knowledge of high-throughput methods is advantageous.",False,False
https://kth.powerappsportals.com/en-US/student/view-job/?id=cfc13e68-8b56-ed11-97b2-0003ff3086e1,"Ekonomisk och teknisk optimering av olika avspänningsstolpar på regionnät, Examensarbete",Vattenfall - Strategisk Partner,Luleå eller Umeå,Degree project,Energy and Sustainable Development,10/28/2022,12/4/2022,"Power Climate Smarter living – det är vårt syfte. Vi är på jakt efter talangfulla studenter som vill hjälpa oss på vår resa mot ett fossilfritt liv. Genom att skriva ett examensarbete på Vattenfall får du en unik möjlighet att bidra till vårt syfte. Det enda vi begär av dig är att du frigör dina superkrafter och delar din energi med oss.

Om examensarbetet
Planeringsingenjör på Eldistribution är du i mitten av den gröna omställningen och möjliggör nya uttagskunder, reinvesterar befintligt elnät för att öka effektuttag och skapa förutsättningar för smarta och leveranssäkra nät. Du har en central roll inom projekten och presenterar lösningsalternativ för de tekniska lösningarna.

Samhällssynen är tydlig, samtliga vill ha ett felfritt elnät och hela vårt samhälle omfattas av elektricitet. Därmed är det av yttersta vikt att kunna både driva och underhålla våra elnät utan avbrott. Ett sätt att kunna underhålla stationer och ledningar utan avbrott är arbetsmetoden ”AMS” (arbete med spänning).

Med ovanstående motivering tror Eldistribution att något så enkelt som stolpbyte av befintliga avspänningsstolpar i trä till det mer moderna komposit skulle möjliggöra AMS, och därmed ha färre avbrott och därmed göra en kostnadseffektivare-, och säkrare verksamhet.

Mål/Syfte:
Målet med uppsatsen är att skapa ett projekt, och bättre förståelse om hur stolpbyte av befintliga avspänningsstolpar i trä till det mer moderna komposit skulle möjliggöra AMS och hur detta skulle ställa sig kostnadsmässigt.
Detta uppdrag är för 1 eller 2 student

Din profil
Vi letar efter student/studenter som vill arbeta mot ett fossilfritt liv inom en generation och som snart tar examen från dina akademiska studier. Du är även någon som identifierar dig med våra principer: Aktiv, Öppen, Positiv och Säkerhet

• Utbildning – Högskoleingenjör Energiteknik
• Omfattning – 15 HP
• språkkunskaper - Svenska

Ytterligare information

• Uppdraget startar: 2023-03-16 eller vid överenskommelse
• Placeringsort: Luleå/Umeå
• Ansökan – en kombinerad fil med ditt CV och personliga brev, samt en kopia av dina betyg.
• Sista ansökningsdag är 2022-12-04.
• Kontaktperson och handledare på Vattenfall: Victor Andersson, Victor.Andersson@vattenfall.com


Mångfald och inkludering – i allt vi gör
Vi är övertygade om att heterogena team kan överträffa homogena team. Men vi kan bara frigöra och använda kraften av mångfald när alla känner sig inkluderade. Läs mer om vårt viktiga arbete med mångfald och inkludering https://careers.vattenfall.com/se/jobba-med-oss/mangfald-inkludering/

Om Vattenfall
Vi på vattenfall har bestämt oss för att göra det möjligt att leva fossilfritt inom en generation. För att lyckas måste vi, som ett av Europas största energibolag, först bli helt fossilfria själva. Men det räcker inte. För att bidra till ett fossilfritt samhälle måste vi göra mer än att enbart fokusera på hållbar energiproduktion.

För vi är övertygade om att om vi ska göra det möjligt att leva fossilfritt inom en generation måste vi nämligen se på utmaningen ur ett bredare perspektiv än att enbart producera energi på ett hållbart sätt.

Följ med oss på vägen mot ett fossilfritt liv.

Vill du veta mer om oss? Besök www.vattenfall.se

Eftersom Vattenfall är en del av den svenska kritiska infrastrukturen är många av våra tjänster säkerhetsklassade. Det innebär, om denna position är säkerhetsklassad, att slutkandidaterna kan vara föremål för en särskild säkerhetsprövning som är i enlighet med säkerhetsskyddslagen.",False,False
